Speech Duration,Pitch,Speech Rate,Jitter,Shimmer,MFCCs,Mood
6.93,259.79,186,0.012,0.09,"[-1.701, -6.221, 1.969, 1.465, 0.928, -9.887, 5.711, 0.915, 6.922, 5.653, -4.873, 6.119, -0.138]",Excited
15.33,146.85,66,0.064,0.044,"[9.012, -0.683, -8.219, 8.584, 3.39, 3.594, 0.776, 1.816, -8.955, 0.248, -9.268, 3.94, -8.047]",Sad
7.41,225.57,214,0.074,0.083,"[-7.017, -5.481, -3.152, 4.943, -2.149, 3.168, 0.851, 5.927, -9.679, -7.47, -1.885, -6.009, -0.084]",Excited
10.69,133.02,60,0.085,0.027,"[8.66, -1.177, -6.175, -6.185, 3.191, -4.521, -0.66, 3.683, -9.662, -0.139, 5.221, 8.667, -4.144]",Sad
8.65,261.67,151,0.015,0.091,"[5.14, 8.782, -8.539, -6.28, -1.407, 2.562, -8.203, -3.939, 3.206, -1.562, 1.723, -2.89, 4.91]",Angry
7.79,229.46,157,0.051,0.015,"[-6.756, -9.667, 1.003, 2.497, -1.523, 9.553, 8.282, 8.578, 2.209, 9.871, -1.571, -7.102, -8.966]",Happy
7.35,264.08,181,0.046,0.085,"[-5.794, -0.289, -7.331, -5.287, -2.479, -0.52, -8.006, 6.687, 9.456, -7.229, -8.689, 3.82, 7.107]",Excited
12.86,177.91,115,0.073,0.035,"[1.051, 0.456, 1.995, 3.347, -9.599, -4.976, 6.317, -0.049, -8.874, 0.022, 2.975, -6.706, -6.532]",Neutral
10.71,173.85,122,0.068,0.089,"[0.031, 5.516, -4.766, -9.74, -9.272, -2.376, 0.146, -0.056, 5.444, 1.987, 2.088, -8.547, 3.519]",Neutral
5.49,226.15,218,0.083,0.014,"[5.72, 8.435, -2.345, 6.513, -9.357, 6.728, -1.699, 1.436, -5.577, -2.779, -2.493, 5.738, 4.936]",Excited
18.48,167.52,69,0.037,0.021,"[-6.558, 8.644, -1.153, 9.932, 3.857, 7.022, -2.176, 7.914, -5.695, 4.869, -7.942, -3.541, -5.323]",Bored
14.25,134.95,51,0.047,0.046,"[5.77, -7.112, -6.494, -5.881, 6.047, -2.401, -9.206, 8.349, -9.181, 6.186, 0.29, 6.971, -3.64]",Bored
15.72,169.62,87,0.048,0.057,"[-7.895, -7.553, -6.206, 5.673, -1.986, -9.397, -1.971, -6.959, 0.515, 7.179, 3.857, 4.872, 4.027]",Confused
11.4,182.58,78,0.029,0.08,"[-4.243, 8.956, -1.759, -5.052, 3.165, -7.502, -2.112, -3.406, -9.958, 7.608, -8.133, 9.006, 8.088]",Confused
15.24,137.26,56,0.033,0.015,"[-9.676, -1.98, -2.209, -9.63, -9.22, -6.411, 1.0, -7.442, -9.368, -6.301, -6.096, 9.154, 2.96]",Bored
16.97,144.93,97,0.091,0.053,"[9.301, 1.383, -8.134, 0.847, -2.21, -5.818, 6.173, 5.618, -1.897, -1.973, 5.684, -2.605, -5.612]",Calm
6.26,262.91,159,0.072,0.039,"[6.865, 8.64, 1.443, 8.664, -8.111, -2.931, 4.205, -0.148, -9.116, 6.881, 1.501, -6.862, -6.548]",Surprised
11.82,268.83,174,0.016,0.028,"[-9.837, 4.473, -1.029, -2.881, -0.576, 7.816, 2.616, -9.663, 0.199, -1.665, -0.133, 8.786, 6.102]",Excited
5.78,340.4,191,0.03,0.097,"[6.911, -1.435, 8.439, -7.04, 2.09, 7.135, -7.056, 6.852, 6.762, -6.824, -4.246, 7.932, -9.906]",Angry
18.37,141.66,77,0.071,0.085,"[9.765, 0.605, -8.343, -2.815, 8.158, -1.75, 7.267, -7.877, -7.331, -9.676, 2.33, 1.875, -8.574]",Bored
14.11,131.19,77,0.026,0.031,"[8.142, 4.53, 4.753, 7.995, -5.869, -0.832, 7.407, 1.955, 0.26, -9.43, 3.516, -1.775, -6.812]",Sad
6.65,259.59,154,0.062,0.031,"[-8.517, 5.292, 6.506, -9.007, 1.856, -9.008, 7.122, 2.181, 6.639, -7.436, 1.578, -2.704, 7.607]",Angry
7.81,273.83,169,0.022,0.079,"[8.09, 2.072, -8.457, 7.783, -2.673, 3.816, 2.257, -9.817, 0.045, 0.962, 0.162, -9.542, -3.052]",Angry
19.36,137.26,82,0.038,0.058,"[4.086, -4.275, -1.917, 2.369, -0.724, -1.409, -0.209, -0.013, -3.996, -0.188, 8.095, -0.481, 0.607]",Sad
12.9,235.33,112,0.025,0.022,"[-1.866, 1.038, 5.146, 2.407, -4.439, 8.219, -2.133, 7.935, -5.132, -6.992, 3.724, -4.051, -4.87]",Fearful
10.76,151.49,69,0.055,0.098,"[6.123, 3.3, 1.732, 4.555, -4.918, 2.767, 3.687, 0.768, -9.115, -4.125, -9.203, -8.008, -3.208]",Bored
9.29,158.93,85,0.077,0.056,"[2.979, -3.761, -6.936, 1.148, -5.976, -4.415, -3.561, -0.46, -2.138, 2.158, -0.816, -2.061, -6.534]",Confused
3.7,287.15,131,0.086,0.03,"[-0.169, -0.64, -3.411, 6.34, 1.035, -1.343, -7.93, -9.638, -7.13, 1.757, 4.455, -9.008, 5.143]",Surprised
8.33,298.52,189,0.1,0.012,"[2.933, 6.332, 3.403, -3.02, 0.303, -3.031, -1.842, 5.433, 2.8, 4.532, -2.825, 1.57, 1.079]",Angry
11.63,264.43,182,0.091,0.036,"[-4.673, -9.247, 7.279, 2.943, -1.523, -0.546, 1.531, 1.361, 2.77, -1.249, 6.148, -1.716, -4.068]",Angry
7.48,264.06,173,0.041,0.059,"[5.09, -7.827, -0.858, 6.115, 4.995, 8.872, 7.795, -3.327, 4.895, 5.29, -5.273, 7.311, -6.561]",Angry
12.45,164.6,53,0.034,0.039,"[5.867, 2.192, -7.554, 0.683, 9.843, -5.351, -9.534, -0.604, -1.247, 8.053, 3.86, -5.881, 0.285]",Bored
10.97,213.16,97,0.062,0.049,"[1.602, -5.186, -7.729, -9.253, 5.904, -5.782, -9.926, -0.937, -5.853, 2.599, 7.833, 8.21, 5.235]",Confused
4.77,247.6,153,0.04,0.088,"[-1.569, 7.652, -5.845, -6.577, 4.329, 6.496, 7.014, -5.932, -2.052, 6.775, 6.153, -8.306, -8.171]",Surprised
11.79,261.91,154,0.08,0.036,"[-4.477, -0.907, 7.343, -8.56, -3.758, -7.061, 6.039, 1.045, 8.36, -5.077, -0.822, -1.217, 7.514]",Fearful
14.98,158.8,125,0.015,0.056,"[8.715, -4.035, -8.189, -5.307, 2.84, 5.736, 7.167, -0.995, 3.941, 7.772, 8.092, -1.385, -8.701]",Calm
14.84,162.91,79,0.076,0.066,"[8.375, 0.324, 0.142, 8.757, -6.445, -4.834, 8.454, 2.661, 3.058, -5.446, -1.076, -5.693, -2.881]",Bored
9.26,172.02,102,0.013,0.082,"[2.977, -2.471, 2.184, -9.699, 8.337, 9.395, 9.06, -4.08, 1.882, 0.607, -2.258, 5.642, 1.453]",Confused
17.41,101.55,87,0.052,0.04,"[4.267, -6.179, -8.433, 5.267, -2.315, 0.657, -0.854, 2.618, -8.82, 9.112, -5.391, 2.342, 6.391]",Sad
10.22,143.66,130,0.083,0.057,"[-6.84, 1.112, 8.814, 8.17, -6.511, -8.116, -6.425, -2.483, -0.748, 9.97, 4.792, 4.003, 6.283]",Calm
10.38,165.35,128,0.011,0.026,"[9.993, -4.583, 2.511, 4.487, 0.149, 2.453, 8.73, 3.624, -1.991, -0.863, 6.536, 1.981, 0.481]",Calm
12.59,164.61,122,0.071,0.092,"[-7.458, -3.482, 7.67, 8.961, 1.474, 8.787, -8.007, 8.058, -1.028, 4.765, -3.476, -2.518, 2.426]",Neutral
6.45,202.75,155,0.054,0.086,"[-2.243, 6.006, -8.11, 0.437, 2.4, 0.544, -7.602, 5.086, 2.657, -8.104, 1.302, 9.3, -1.388]",Excited
11.99,184.33,75,0.042,0.043,"[-6.105, 1.01, -0.338, -3.396, 9.819, -7.532, 3.158, 1.462, -6.759, 0.88, 0.587, -6.78, -2.373]",Confused
5,251.05,141,0.034,0.063,"[-3.442, 3.427, 1.37, -8.422, 8.671, -4.66, -2.227, -8.264, 7.318, 6.906, -3.304, 8.531, -0.497]",Surprised
13.99,190.35,128,0.09,0.013,"[-7.398, 4.159, -9.565, 4.745, 6.564, 6.338, 8.37, 8.911, 4.579, -5.358, 9.548, -3.667, 6.706]",Fearful
10.6,186.27,78,0.088,0.016,"[0.023, -5.01, 8.725, 7.095, 0.143, -1.862, -0.068, -3.101, -6.276, -3.711, -4.814, 8.274, -1.671]",Confused
7.51,319.18,148,0.054,0.056,"[7.333, 5.686, 6.671, -7.77, -7.471, -2.317, 2.29, 4.993, -1.623, 2.703, 4.427, -5.782, 3.101]",Angry
16.86,143.77,67,0.079,0.047,"[-5.086, 1.296, 4.294, -8.827, -3.723, -7.033, 9.659, 9.285, 8.603, 1.363, 3.935, 2.181, 4.303]",Bored
4.64,267.72,154,0.03,0.098,"[-4.662, -1.022, 7.426, 9.668, -8.649, -5.709, -4.383, -8.374, -3.837, -6.061, 3.86, -3.671, -4.473]",Surprised
9.37,152.54,98,0.084,0.083,"[-7.464, -9.718, 1.119, 8.722, -1.556, 1.492, -2.07, -4.722, 7.007, -8.828, -6.63, 5.556, -8.973]",Confused
11.67,170.52,119,0.083,0.051,"[-2.713, -6.461, -0.695, 5.621, -2.561, -0.532, 4.417, -3.962, 6.282, 9.914, 1.629, 5.203, -9.555]",Confused
11.77,197.23,105,0.066,0.011,"[6.472, -5.777, -9.861, -0.803, -7.21, -0.944, -2.17, -5.767, -6.512, -6.309, -5.425, 3.316, 6.01]",Confused
8.81,168.12,76,0.059,0.052,"[-8.578, 7.709, -6.545, 4.688, 8.199, -3.058, 9.785, -7.449, 4.522, 3.915, 6.929, 8.647, 0.803]",Confused
9.93,251.66,183,0.098,0.035,"[7.343, 6.254, 6.826, -7.837, 3.101, 1.819, -1.496, 0.17, -4.649, -6.463, 5.147, -6.11, 4.128]",Excited
3.62,244.3,159,0.012,0.032,"[1.954, 2.537, -3.525, -0.102, 4.849, 5.265, -1.732, 5.929, 3.133, -9.193, -1.604, 8.46, 5.772]",Surprised
6.07,237.86,139,0.012,0.096,"[6.083, 4.899, -4.709, 6.489, 4.542, 8.268, 6.449, -3.443, -9.2, 5.749, 5.946, 5.44, -3.879]",Happy
9.91,192.46,119,0.029,0.036,"[4.43, -8.229, 4.864, -6.677, -9.163, 9.139, 0.548, 5.095, -9.217, 9.353, 8.861, -9.169, -2.966]",Fearful
7.03,236.88,126,0.092,0.063,"[1.848, 3.5, -0.651, 9.839, 6.598, 8.092, -6.485, -0.469, -5.447, -3.812, -9.637, 2.686, 4.088]",Fearful
6.4,253.77,147,0.079,0.1,"[7.987, 1.5, 5.174, -1.864, 7.077, -0.912, 9.719, -0.84, 9.147, 7.837, -4.819, -6.499, -3.959]",Surprised
7.27,200.21,166,0.073,0.068,"[7.424, -7.151, -5.363, 5.996, -6.134, -8.067, 2.742, -2.467, -5.512, 2.185, 1.021, 3.141, 0.359]",Happy
9.18,219.27,174,0.034,0.066,"[-9.669, 8.654, -2.048, 0.359, 6.427, 0.382, -4.644, 1.35, 9.317, -0.862, -6.709, 8.407, -9.525]",Excited
5.42,297.96,152,0.038,0.015,"[1.626, -0.942, 3.521, -1.028, -3.099, -8.036, 9.641, 1.935, -5.195, -8.811, -5.429, 4.314, -1.029]",Surprised
7.79,235.22,168,0.039,0.031,"[-9.424, -3.874, -0.5, 9.049, -7.753, 9.006, 5.037, 8.773, -7.461, 3.975, 9.517, -4.879, -1.014]",Surprised
9.62,188.01,173,0.049,0.026,"[8.72, 5.403, -3.379, 1.922, -5.181, -8.643, -9.456, 2.833, 5.138, 9.214, -7.54, -0.599, 1.123]",Happy
7.27,232.67,130,0.039,0.044,"[0.009, 9.335, -9.346, -3.149, 0.426, -1.026, 7.226, 5.523, -5.652, -8.635, 2.404, -7.66, 4.675]",Surprised
18.39,163.15,80,0.024,0.067,"[-3.526, 4.086, 5.756, 1.018, -4.967, -8.313, -9.157, -8.082, 0.727, 0.007, 8.532, -4.171, 3.391]",Bored
17.74,136.21,69,0.04,0.063,"[4.658, 2.324, 5.169, 4.873, 3.698, 4.608, 7.675, 9.971, 8.42, 9.53, -7.232, 3.388, -2.182]",Sad
5.08,268.33,163,0.049,0.074,"[-9.052, 3.747, -2.822, -3.088, -7.113, 4.034, -7.393, 1.26, 7.614, -2.266, -5.536, 5.148, 4.423]",Angry
12.86,164.28,109,0.024,0.061,"[0.997, -1.608, 0.472, 1.992, 9.173, -7.057, 8.82, 7.947, -7.133, 1.608, 9.853, 1.788, -5.686]",Confused
15.91,150.53,80,0.048,0.091,"[3.309, 9.992, -0.21, -1.003, 5.505, 3.437, 3.746, 1.858, -3.075, -3.123, 9.369, 9.333, 3.465]",Bored
9.71,213.33,144,0.02,0.089,"[9.348, -1.902, 2.943, 0.628, 6.106, -9.165, 0.526, -6.423, -6.514, -5.519, 7.537, 6.744, -2.583]",Fearful
13.28,169.67,94,0.012,0.029,"[3.337, 8.582, 8.442, -8.095, -1.461, 7.196, -7.168, 3.172, 4.959, 9.818, -3.137, -6.732, -5.861]",Calm
7.42,180.82,153,0.024,0.056,"[-1.027, -4.303, 7.597, 6.864, -6.589, 2.226, 3.888, -8.819, -5.816, 4.803, 2.941, 9.188, 4.097]",Fearful
12.08,173.61,104,0.061,0.038,"[2.479, 8.686, -8.458, 2.201, -1.41, 4.688, -5.337, -1.879, 3.204, -7.818, 3.337, -1.483, -0.398]",Calm
16.79,153,66,0.021,0.084,"[9.885, -4.392, -3.937, 7.563, 2.78, -4.491, 5.7, -1.598, -4.373, -4.578, 4.91, 2.39, -6.282]",Bored
9.2,148.82,108,0.011,0.024,"[-2.152, -8.848, 6.968, -1.084, 2.629, -2.629, 7.019, -0.409, 9.1, 8.494, -4.154, 5.724, 8.412]",Neutral
10.48,336.57,162,0.09,0.022,"[2.182, 8.138, -8.999, 6.87, 9.75, 2.496, -6.029, -9.472, -1.278, -8.947, 1.977, -2.184, 7.187]",Angry
11.42,173.82,70,0.014,0.073,"[-9.87, 5.502, 2.066, 5.707, -6.037, -0.272, 7.479, -4.334, 7.086, -8.339, 6.504, 7.83, 6.824]",Confused
7.63,206.73,147,0.086,0.027,"[-3.347, 3.469, 5.137, -7.144, 1.495, 8.143, -3.825, -7.035, 0.406, 7.107, 3.739, 7.864, -4.298]",Fearful
11.79,261.87,111,0.026,0.08,"[2.485, 4.943, 3.22, 7.762, 1.194, 6.249, 0.716, 3.787, -9.299, 4.567, 4.603, 8.539, -0.924]",Fearful
11.99,213.93,107,0.048,0.047,"[0.753, -3.643, 5.739, -3.501, -0.674, -2.46, 5.337, -7.994, -9.279, 5.672, 6.503, -5.171, -8.696]",Confused
8.23,164.59,82,0.042,0.056,"[-8.233, -9.09, 0.41, -6.88, -5.028, -1.745, -0.477, -0.727, 8.49, 2.794, -6.408, 8.351, 9.772]",Confused
5.47,208.72,165,0.038,0.042,"[3.97, 5.162, -7.729, 9.218, -3.389, 8.926, 8.742, -9.922, -6.87, 0.924, -9.763, 8.124, -0.711]",Excited
5.21,239.49,195,0.098,0.031,"[-6.403, 3.363, -1.401, -3.578, -4.519, 8.519, 0.769, -6.731, 5.961, 4.929, -0.428, -4.41, 6.169]",Excited
11.89,271.05,150,0.096,0.084,"[6.135, 5.191, -6.48, -2.91, 9.388, 6.672, -3.353, -4.104, 4.654, 4.304, 0.607, 2.299, 8.136]",Angry
7.99,248.76,146,0.062,0.075,"[-6.57, -5.159, 5.294, 9.262, -9.405, 3.094, -5.38, -9.516, 4.5, -8.963, 1.981, 1.408, 5.991]",Fearful
10.33,341.17,186,0.084,0.067,"[0.96, -2.601, -4.902, 0.05, -2.577, -6.605, 7.994, 3.073, 3.52, 8.033, -8.704, -0.296, -1.365]",Angry
6.65,250.65,204,0.058,0.098,"[5.751, 1.733, 6.525, 2.442, -9.132, -1.533, 3.933, -2.848, -0.095, -6.544, 7.697, -7.13, 1.761]",Excited
11.57,164.31,122,0.019,0.037,"[-1.301, 7.522, 7.729, 1.455, -0.853, -7.099, -2.744, 7.668, 0.801, 6.87, 5.26, 0.099, -5.387]",Neutral
19.06,119.62,63,0.033,0.063,"[9.664, -9.093, -1.062, -7.848, -0.69, 9.194, 9.109, -5.83, 1.626, -0.449, -1.612, -2.952, -9.218]",Sad
12.02,146.62,59,0.024,0.054,"[9.984, -6.272, 7.918, 0.731, -3.91, 3.283, 1.615, 3.007, 4.771, 2.883, 7.036, -8.578, -4.107]",Bored
6.7,279.57,131,0.038,0.018,"[8.347, -2.286, 5.322, -9.525, -3.722, -1.501, -7.333, -3.443, 5.98, -7.407, 9.495, 6.284, 7.886]",Surprised
8.9,253,134,0.021,0.092,"[-8.18, 4.901, 8.899, -9.822, -6.55, 2.097, -8.544, -4.407, 5.851, 0.806, 6.605, 7.675, -8.0]",Fearful
7.86,191.64,156,0.092,0.016,"[4.127, 3.646, -7.838, 7.809, -1.724, 4.69, -4.042, 2.064, 6.938, -7.449, 4.046, 4.141, 9.988]",Fearful
14.05,196.75,91,0.095,0.084,"[-4.954, -5.644, -8.081, -7.748, 9.19, 7.254, -7.369, -7.676, -7.173, -5.275, 2.293, -2.962, 6.463]",Confused
16.85,169.11,68,0.048,0.034,"[-8.729, 4.856, 9.012, -2.954, 9.536, -3.505, 7.939, -3.834, -6.295, 2.853, 3.112, 3.271, 2.538]",Bored
8.09,280.26,188,0.094,0.081,"[6.23, -4.289, 4.378, 0.65, 4.027, -9.137, -4.706, 2.773, 3.035, -9.101, 8.217, 6.131, 2.012]",Angry
13.65,165.99,107,0.095,0.024,"[6.624, 8.945, 0.947, -7.854, -8.584, -6.662, 6.684, -5.052, -3.737, -4.498, 1.741, -6.062, 3.854]",Neutral
12.09,194.64,71,0.094,0.05,"[-4.855, -7.112, 0.064, -3.796, 5.227, -5.141, 9.01, 7.753, 5.472, 7.223, -8.915, 3.162, 5.844]",Confused
17.88,155.44,75,0.095,0.051,"[8.194, -2.464, 1.93, -6.216, -0.465, 9.744, 0.044, -7.772, -2.059, -1.435, 7.017, -1.065, -0.616]",Bored
11.51,275.32,155,0.092,0.067,"[0.699, -8.354, -1.347, -7.675, 0.588, 9.751, 5.913, -3.469, 4.013, 8.562, 4.703, 9.607, -7.891]",Angry
14.81,250.09,158,0.034,0.066,"[1.237, 3.145, 2.745, -8.5, -7.109, 7.548, -9.564, 4.374, -6.292, -1.92, 3.627, -5.33, -7.739]",Fearful
5.61,294.96,166,0.034,0.031,"[6.298, -4.95, 4.685, 8.154, -8.528, 1.829, -0.999, -1.346, -0.494, -0.614, -4.566, -9.639, 8.911]",Surprised
7.16,225.18,141,0.045,0.076,"[4.207, 8.326, -4.243, 1.872, -5.714, 8.408, -8.475, -8.748, 4.022, 7.731, -5.211, -1.649, -0.892]",Fearful
14.61,155.83,100,0.011,0.043,"[-9.421, -9.999, -6.173, 5.817, 4.46, -7.372, -9.242, 0.023, -1.624, 1.079, -6.142, -4.637, -3.412]",Calm
12.83,178.94,123,0.014,0.049,"[6.745, -1.66, 1.651, -3.269, -5.232, 0.451, 6.933, 1.174, -1.897, 9.517, -8.952, 4.964, 0.781]",Neutral
12.1,140.21,116,0.042,0.059,"[9.142, 3.055, 3.267, 3.316, 5.088, -8.701, 1.068, 3.587, -3.971, -9.708, 2.129, -2.105, 3.545]",Neutral
10.34,172.88,110,0.045,0.088,"[-2.775, -4.122, -0.549, -6.226, -4.72, -5.863, 4.423, 7.67, -6.841, 3.724, -1.485, 3.5, -8.702]",Neutral
9.91,234.38,133,0.094,0.067,"[9.602, 3.541, -5.084, -0.121, 0.2, 5.201, -2.736, 9.079, -8.354, 6.729, -9.596, 6.321, 7.881]",Happy
5.08,190.08,178,0.034,0.031,"[-7.705, 8.945, 1.44, -0.2, 4.917, 9.155, 5.934, 4.072, 2.473, 8.629, 5.958, -8.446, 1.787]",Happy
19.47,153.03,61,0.061,0.073,"[1.434, 6.035, 1.21, -2.804, 4.919, -6.146, 0.215, 9.404, -1.177, 6.825, 8.804, -9.351, 3.048]",Bored
7.3,254.53,160,0.045,0.057,"[5.108, 7.505, -0.272, -0.858, 8.64, 2.782, 4.752, 1.317, 1.221, -0.483, 9.803, -5.473, -7.334]",Surprised
12.6,159.54,110,0.061,0.027,"[-2.594, -4.122, -0.277, 2.159, 9.518, -3.765, 1.537, -0.757, -9.57, -4.877, 0.517, 8.082, -5.877]",Confused
8.14,252.87,168,0.049,0.014,"[0.975, 0.499, 1.557, 5.189, 1.848, 8.357, 9.283, -0.988, 8.238, 4.492, -4.702, -8.01, 6.027]",Excited
9.76,233.2,218,0.048,0.043,"[4.732, -3.404, -6.363, -1.015, -0.169, -2.905, -2.371, -2.995, -7.509, -4.417, 3.456, 6.211, -6.85]",Excited
14.72,166.2,90,0.093,0.071,"[5.297, 4.936, 4.821, -0.931, -5.399, 9.066, 3.274, -4.99, -1.328, 8.065, -9.784, -2.435, -4.644]",Neutral
4.09,230.27,142,0.093,0.027,"[-0.033, -3.47, -1.533, -3.052, -9.796, -8.045, -6.943, -2.202, -2.284, 6.891, 4.106, -1.033, 1.222]",Surprised
4.86,231.57,147,0.056,0.065,"[-2.853, -3.053, 0.825, 0.569, -3.385, -5.033, -9.49, 1.286, 9.64, 9.798, 6.675, -4.655, 2.704]",Surprised
14.2,129.58,76,0.099,0.099,"[9.547, -8.324, 8.606, 7.381, 0.99, 4.829, 9.284, 5.301, 7.182, 5.476, 0.447, -9.229, -6.124]",Sad
7.71,291.64,150,0.062,0.067,"[2.383, 5.617, -7.198, -0.027, 0.972, -0.027, 4.754, -8.536, 2.757, -3.939, 3.583, 3.749, -0.92]",Surprised
14.22,127.01,56,0.092,0.049,"[-2.71, 4.958, -8.173, 2.194, 5.097, -0.16, -0.169, 1.814, -2.923, -4.929, 8.588, -1.333, 7.237]",Bored
11.97,259.84,144,0.015,0.054,"[1.786, -9.977, 5.667, 9.239, -2.205, 4.861, -6.65, -0.155, -5.611, 4.374, -3.949, 0.323, 4.883]",Fearful
9.35,207.71,103,0.086,0.036,"[-2.468, 0.36, 5.206, 1.26, 8.855, 1.254, 9.971, -3.297, -2.285, -5.962, 3.276, -7.835, 7.716]",Confused
13.81,173.52,97,0.075,0.05,"[9.388, -4.049, -2.427, -6.519, -0.963, 9.329, -3.123, 0.547, -6.6, 1.78, 8.059, -6.185, -1.458]",Neutral
9.34,237.29,141,0.064,0.045,"[-9.239, 7.617, 3.819, -2.092, 8.247, -2.621, -2.311, 2.491, 2.275, -1.227, 7.956, 9.138, 4.44]",Happy
15.47,169.38,55,0.018,0.013,"[-2.414, -9.404, 5.914, -3.733, -4.869, -0.476, -4.02, -2.387, -7.533, -9.974, 5.534, -5.545, -6.751]",Bored
14.09,154.29,107,0.042,0.021,"[3.547, 0.165, 6.894, -4.218, -7.616, -7.217, -7.276, -7.542, -9.577, -9.259, 9.763, -4.179, -9.83]",Neutral
5.79,253.27,157,0.017,0.052,"[0.301, -1.055, 0.432, 2.649, -0.409, -7.583, -9.66, 9.614, -4.175, 4.773, -8.342, -6.742, 2.313]",Excited
5.96,251.16,195,0.013,0.086,"[1.591, -4.033, -6.438, 8.503, -1.597, -6.75, -6.534, -8.008, 3.362, 9.357, 9.727, 7.006, -5.74]",Excited
11.52,275.19,191,0.088,0.097,"[3.233, -6.2, 3.95, -4.336, 2.887, 1.822, -0.788, 2.825, -8.301, -6.184, 6.795, 8.722, -9.822]",Angry
11.94,304.83,143,0.068,0.014,"[-3.665, 2.54, -8.77, -5.058, 3.302, 0.751, -4.509, -9.083, 3.93, -4.809, -9.715, -2.498, 7.485]",Angry
13.57,156.5,74,0.091,0.029,"[0.892, -8.652, -8.11, -0.24, 1.811, 3.607, 7.639, -8.248, -3.446, -5.197, -6.975, -4.146, 1.776]",Confused
7.16,241.58,165,0.043,0.039,"[-0.747, 9.244, 8.11, -8.283, -9.325, 9.453, 4.631, 4.094, -8.157, 5.057, -7.67, 9.715, -3.155]",Surprised
12.14,163.53,119,0.053,0.099,"[-6.254, 1.343, -2.888, 8.509, -0.392, 2.236, -2.953, -9.908, -5.598, 0.598, 8.844, -9.304, 1.048]",Calm
12.05,162.49,128,0.076,0.062,"[5.21, 9.457, -9.431, -2.688, -1.088, 5.972, -2.092, -9.387, -7.647, -6.967, -4.247, -3.098, 5.532]",Calm
11.4,268.02,204,0.086,0.054,"[3.332, 7.261, 4.026, -6.587, -1.281, 6.221, 6.0, 6.951, 8.137, 7.573, -9.111, 2.67, -8.161]",Excited
11.25,147.23,125,0.024,0.027,"[-1.418, -9.244, -2.507, -1.372, -8.637, 4.65, -3.65, -4.405, 0.217, -3.732, -5.868, 0.043, -3.86]",Calm
11.1,249.88,217,0.048,0.067,"[2.325, 0.788, -5.878, -9.235, 1.456, 3.738, 0.315, 0.157, 8.922, 1.142, -3.74, -2.222, 0.426]",Excited
5.38,236.8,149,0.023,0.1,"[-0.903, 7.667, 1.982, 8.638, -2.77, -4.149, 1.534, -3.161, 4.125, 3.459, -9.453, -8.926, -7.188]",Surprised
10.42,156.41,87,0.023,0.099,"[-8.864, 3.414, -9.305, -6.771, -4.685, -9.196, 3.239, 8.143, -0.745, -8.746, 0.64, -2.517, -2.331]",Confused
5.29,333.05,147,0.02,0.054,"[8.32, 9.64, 7.919, 5.188, 0.702, -7.198, -0.389, 2.058, -4.315, 4.128, -1.794, -7.846, -5.517]",Angry
10.43,202.75,92,0.094,0.066,"[-8.936, 0.08, 6.421, 2.147, -9.706, -6.914, 9.937, 5.592, 3.88, 5.652, 1.567, 0.011, 4.998]",Confused
11.65,113.29,87,0.056,0.038,"[-4.35, 3.411, -2.428, -9.558, 6.301, 7.811, -5.629, -4.666, 0.794, 7.269, -8.664, -5.634, -2.879]",Sad
9.54,185.05,113,0.018,0.099,"[-5.44, 7.48, 7.016, -5.225, 4.412, 1.875, -2.008, 8.673, 8.562, -0.341, -9.867, -9.913, -1.236]",Fearful
15.38,182.03,115,0.067,0.074,"[8.291, 7.764, 3.926, -0.112, 5.336, -4.422, 0.319, 0.236, 2.314, 9.214, 8.686, -8.504, 5.793]",Confused
10.89,174.49,100,0.031,0.025,"[-7.548, -0.677, 7.563, -2.97, 4.56, 6.544, -7.062, 0.669, -0.112, 2.225, 3.94, -3.207, 0.676]",Calm
12.79,158.7,102,0.058,0.015,"[3.729, 6.916, 0.61, -8.276, 9.533, 1.827, -3.303, 0.426, -8.671, -8.926, -4.769, 5.43, -2.253]",Neutral
16.02,115.72,83,0.028,0.053,"[4.68, 6.444, 9.821, -6.244, 7.539, 5.348, 8.017, 1.161, -5.779, -4.246, -5.962, 5.152, 3.405]",Sad
9.99,260.64,192,0.092,0.085,"[3.217, 1.926, -9.737, 6.958, -7.563, -4.031, 9.402, 5.607, 6.396, -2.854, -4.406, 4.647, 4.82]",Angry
14.78,141.1,90,0.061,0.076,"[-3.827, 6.784, -3.866, 7.388, 7.967, -8.271, 3.498, -7.701, 0.802, -6.956, -6.751, -8.83, 3.999]",Calm
9.14,313.99,198,0.093,0.022,"[5.05, 3.006, 6.277, -2.874, -4.852, -9.346, 9.21, 2.122, 8.398, -5.432, 1.11, 9.709, 7.639]",Angry
6.28,208,151,0.014,0.1,"[3.726, 3.59, -1.159, 7.432, 7.414, 5.748, -3.664, 2.847, 1.045, 1.585, 5.946, -2.021, 6.378]",Happy
8.14,235.27,162,0.017,0.047,"[4.721, -2.618, 3.045, -6.138, 1.133, 8.48, -0.233, 1.416, -5.554, 2.217, -1.369, -1.724, -2.955]",Happy
14.47,146.95,99,0.081,0.066,"[7.532, 0.043, 8.996, 1.903, 9.139, 2.129, 5.944, -4.434, -6.63, -3.089, 1.884, 8.814, -5.679]",Calm
